fecha,temp_media,hum_media,rad_media,pres_media,precip_total,viento_media,n_registros
2018-01-01,29.4,76.78,7.79,1007.32,25.52,9.18,24
2018-01-02,28.42,77.5,0.04,1005.21,24.98,9.13,24
2018-01-03,28.73,78.49,9.24,1007.95,27.43,9.65,24
2018-01-04,29.36,76.16,9.61,1008.35,25.43,9.76,24
2018-01-05,28.47,78.53,11.62,1003.91,25.49,9.31,24
2018-01-06,29.83,80.42,6.54,1004.7,25.04,9.45,24
2018-01-07,28.94,77.22,11.67,1007.01,26.84,9.68,24
2018-01-08,27.59,74.48,12.09,1005.84,38.15,9.47,24
2018-01-09,27.23,75.48,13.57,1006.37,39.25,9.64,24
2018-01-10,27.4,77.63,12.23,1005.0,38.02,9.39,24
2018-01-11,28.2,77.24,13.35,1007.64,39.9,9.25,24
2018-01-12,29.69,78.48,7.6,1007.38,38.48,9.65,24
2018-01-13,29.6,81.03,11.34,1006.25,39.54,9.39,24
2018-01-14,28.73,75.43,13.35,1008.29,37.65,9.32,24
2018-01-15,27.75,75.86,14.3,1006.03,60.74,9.9,24
2018-01-16,28.57,77.38,8.52,1003.74,61.91,9.68,24
2018-01-17,29.26,76.85,12.44,1005.6,61.64,9.12,24
2018-01-18,27.23,79.1,2.83,1003.67,64.12,9.39,24
2018-01-19,28.97,77.12,5.8,1006.39,64.68,9.49,24
2018-01-20,29.16,74.25,11.59,1004.9,64.07,9.41,24
2018-01-21,28.17,79.7,14.23,1005.07,61.62,9.95,24
2018-01-22,29.78,77.55,9.3,1003.83,65.61,9.3,24
2018-01-23,27.75,74.71,13.91,1007.3,62.45,9.79,24
2018-01-24,29.01,80.34,13.37,1004.79,64.81,9.23,24
2018-01-25,28.87,75.37,12.32,1004.38,67.75,9.46,24
2018-01-26,28.24,76.36,8.31,1004.71,63.37,9.07,24
2018-01-27,28.01,75.08,13.43,1005.93,67.95,9.86,24
2018-01-28,27.29,79.03,13.76,1005.98,64.44,9.69,24
2018-01-29,28.33,89.44,12.39,1006.12,62.31,9.0,24
2018-01-30,28.71,82.42,13.68,1006.1,63.72,8.7,24
2018-01-31,27.39,83.64,11.57,1008.93,63.48,8.77,24
2018-02-01,28.07,81.57,12.87,1005.19,60.07,9.37,24
2018-02-02,28.33,89.42,13.78,1004.94,59.23,8.79,24
2018-02-03,28.79,81.6,8.42,1004.39,60.6,9.23,24
2018-02-04,27.12,81.6,12.85,1006.84,61.66,9.33,24
2018-02-05,27.06,86.86,5.3,1009.62,28.26,9.27,24
2018-02-06,29.45,81.77,11.34,1007.48,27.37,9.35,24
2018-02-07,27.96,86.82,11.25,1006.59,27.86,8.64,24
2018-02-08,28.93,81.64,10.85,1006.57,26.3,9.25,24
2018-02-09,27.81,87.42,14.37,1008.99,27.99,8.95,24
2018-02-10,28.69,82.17,12.7,1008.89,28.22,9.26,24
2018-02-11,27.31,88.29,11.61,1008.75,28.41,9.0,24
2018-02-12,26.87,84.0,11.68,1006.34,39.61,9.37,24
2018-02-13,28.83,88.36,9.16,1007.39,41.54,9.21,24
2018-02-14,27.17,85.91,0.07,1007.62,39.09,9.0,24
2018-02-15,28.66,81.49,13.94,1007.37,42.01,8.96,24
2018-02-16,26.93,84.93,12.46,1008.64,39.94,9.36,24
2018-02-17,27.38,88.11,10.8,1007.75,40.83,9.63,24
2018-02-18,29.0,81.96,6.56,1008.16,39.79,9.43,24
2018-02-19,29.02,84.53,7.51,1003.83,100.67,9.27,24
2018-02-20,28.46,86.05,8.24,1004.14,101.62,8.92,24
2018-02-21,27.26,81.54,13.55,1004.4,107.76,8.97,24
2018-02-22,27.95,82.49,14.43,1001.54,99.69,9.35,24
2018-02-23,29.1,82.52,12.18,1002.96,105.26,8.86,24
2018-02-24,29.26,80.48,4.36,1002.78,105.99,9.36,24
2018-02-25,27.18,87.75,11.26,1002.98,99.83,8.77,24
2018-02-26,25.89,93.67,17.11,1005.04,77.83,8.57,24
2018-02-27,27.4,94.82,18.96,1007.55,77.81,9.07,24
2018-02-28,27.28,92.39,18.27,1004.05,77.39,8.61,24
2018-03-01,26.42,94.61,15.15,1006.79,78.74,8.43,24
2018-03-02,26.62,93.28,16.88,1002.56,78.4,8.76,24
2018-03-03,26.1,90.1,16.6,1004.78,80.04,9.24,24
2018-03-04,26.32,96.7,18.08,1005.54,82.92,9.13,24
2018-03-05,26.46,92.15,17.72,1005.44,93.73,8.7,24
2018-03-06,27.48,93.74,18.15,1005.5,95.35,8.73,24
2018-03-07,25.88,93.63,17.01,1005.45,98.0,8.74,24
2018-03-08,26.58,94.1,19.25,1003.92,95.17,8.96,24
2018-03-09,26.75,96.07,18.5,1003.55,96.32,9.0,24
2018-03-10,27.39,96.45,14.28,1005.84,92.21,8.9,24
2018-03-11,25.17,94.9,16.38,1004.01,98.93,8.67,24
2018-03-12,26.12,91.98,15.72,1002.15,102.29,8.41,24
2018-03-13,25.81,89.75,18.33,1002.52,101.25,8.94,24
2018-03-14,27.15,88.81,18.1,1002.59,101.77,9.32,24
2018-03-15,25.66,90.1,14.77,1004.85,104.29,8.49,24
2018-03-16,26.46,88.84,14.43,1003.99,109.77,9.26,24
2018-03-17,26.58,95.01,16.18,1005.02,107.18,8.79,24
2018-03-18,27.55,90.96,15.28,1003.36,102.78,8.82,24
2018-03-19,26.7,89.71,14.87,1007.05,56.29,8.86,24
2018-03-20,26.95,91.75,17.0,1007.78,58.23,8.47,24
2018-03-21,26.0,93.53,17.07,1006.28,58.22,8.81,24
2018-03-22,27.24,92.29,13.01,1007.57,57.07,8.58,24
2018-03-23,26.89,88.97,14.11,1005.76,57.53,9.16,24
2018-03-24,25.09,92.56,16.1,1006.37,57.14,8.93,24
2018-03-25,25.94,95.87,17.08,1006.6,54.4,9.14,24
2018-03-26,25.0,89.84,15.07,1003.75,77.22,8.62,24
2018-03-27,26.0,96.35,17.52,1006.36,81.53,8.74,24
2018-03-28,26.04,95.42,12.26,1005.04,76.43,8.68,24
2018-03-29,27.1,93.28,18.44,1005.63,76.85,8.85,24
2018-03-30,25.66,87.74,13.35,1006.76,75.68,9.13,24
2018-03-31,26.79,90.82,15.37,1006.36,76.71,8.83,24
2018-04-01,27.42,92.63,16.98,1006.48,79.33,8.85,24
2018-04-02,26.7,90.05,16.39,1006.82,52.88,7.34,24
2018-04-03,24.51,89.07,15.32,1006.65,54.39,7.56,24
2018-04-04,24.8,92.4,16.61,1007.16,55.43,7.82,24
2018-04-05,26.8,94.55,16.18,1004.34,55.14,7.82,24
2018-04-06,24.94,91.62,12.78,1004.79,54.06,7.26,24
2018-04-07,25.73,93.03,13.36,1005.19,51.26,7.27,24
2018-04-08,26.17,94.27,16.3,1005.58,52.57,7.76,24
2018-04-09,26.12,93.5,18.46,1009.18,27.63,7.55,24
2018-04-10,26.29,93.55,14.52,1007.15,26.94,7.22,24
2018-04-11,26.59,96.05,14.94,1008.0,28.63,7.11,24
2018-04-12,25.01,92.89,13.14,1010.87,26.71,7.59,24
2018-04-13,26.4,96.76,17.62,1007.92,27.73,7.58,24
2018-04-14,26.79,92.99,13.45,1009.69,26.88,7.35,24
2018-04-15,25.22,95.65,16.95,1007.33,28.31,7.17,24
2018-04-16,25.45,87.78,15.78,1006.96,49.81,7.64,24
2018-04-17,25.5,90.15,15.11,1005.59,52.0,8.07,24
2018-04-18,26.63,94.49,17.57,1006.75,48.96,7.97,24
2018-04-19,25.22,93.51,16.71,1008.8,49.65,7.57,24
2018-04-20,26.54,91.92,14.69,1004.48,49.89,7.36,24
2018-04-21,25.74,93.31,18.29,1008.0,49.04,7.4,24
2018-04-22,25.67,90.13,15.5,1007.57,50.78,7.37,24
2018-04-23,26.61,95.44,13.81,1007.54,27.52,7.74,24
2018-04-24,25.6,93.92,16.44,1006.18,27.53,7.77,24
2018-04-25,25.23,95.43,17.61,1008.7,28.4,7.16,24
2018-04-26,24.87,94.88,14.23,1008.0,27.13,7.48,24
2018-04-27,26.21,87.98,14.62,1008.94,26.47,7.62,24
2018-04-28,26.64,89.13,11.91,1008.32,29.07,7.9,24
2018-04-29,25.6,94.55,11.15,1011.1,27.53,7.34,24
2018-04-30,26.21,86.46,13.97,1009.53,4.79,6.66,24
2018-05-01,26.43,84.18,13.5,1008.26,5.11,6.37,24
2018-05-02,27.08,88.02,11.82,1009.94,5.06,6.61,24
2018-05-03,28.32,83.45,11.58,1009.87,5.21,6.63,24
2018-05-04,27.92,90.54,15.78,1011.77,5.24,6.44,24
2018-05-05,27.73,85.64,11.0,1010.92,4.85,6.83,24
2018-05-06,26.68,89.42,15.77,1010.13,4.85,6.84,24
2018-05-07,27.91,88.1,14.92,1011.84,6.61,7.08,24
2018-05-08,28.02,89.85,16.6,1007.45,6.36,6.64,24
2018-05-09,27.5,88.28,13.01,1008.51,6.66,7.01,24
2018-05-10,28.18,84.28,13.82,1007.96,6.37,6.55,24
2018-05-11,28.47,84.81,14.89,1008.72,6.05,6.48,24
2018-05-12,26.33,86.24,13.18,1007.37,6.74,6.8,24
2018-05-13,28.4,88.22,15.95,1010.23,6.57,6.16,24
2018-05-14,28.28,88.78,14.99,1008.38,17.44,6.29,24
2018-05-15,25.98,90.23,14.62,1006.47,17.21,6.52,24
2018-05-16,27.04,84.11,13.81,1006.92,16.74,5.96,24
2018-05-17,28.0,85.19,13.14,1009.15,17.62,6.42,24
2018-05-18,28.49,87.95,12.51,1009.87,16.57,6.56,24
2018-05-19,28.0,85.26,13.6,1011.84,16.66,6.53,24
2018-05-20,27.38,83.73,11.93,1013.26,16.65,6.59,24
2018-05-21,27.44,86.79,12.8,1008.76,24.03,6.35,24
2018-05-22,27.28,90.15,14.27,1006.71,23.74,6.2,24
2018-05-23,27.84,91.28,14.99,1004.57,24.83,6.19,24
2018-05-24,27.69,86.9,16.83,1008.32,25.59,6.69,24
2018-05-25,26.02,89.67,14.25,1006.97,23.72,6.46,24
2018-05-26,28.65,85.6,14.77,1007.22,25.18,6.51,24
2018-05-27,26.59,84.15,12.75,1007.15,25.34,6.5,24
2018-05-28,26.19,82.52,11.45,1008.65,11.86,6.44,24
2018-05-29,27.95,87.83,10.79,1010.29,12.51,6.3,24
2018-05-30,28.72,83.14,11.92,1008.68,13.3,6.46,24
2018-05-31,26.14,81.75,8.79,1008.39,12.96,6.3,24
2018-06-01,28.44,83.57,13.69,1006.8,12.29,7.04,24
2018-06-02,27.06,89.14,10.46,1005.9,12.51,6.53,24
2018-06-03,27.25,88.17,11.14,1007.67,12.18,6.86,24
2018-06-04,26.13,75.56,7.93,1008.84,6.33,5.68,24
2018-06-05,26.33,73.32,13.97,1011.83,6.04,5.73,24
2018-06-06,24.63,72.74,9.86,1009.36,6.11,5.74,24
2018-06-07,26.89,76.25,12.17,1010.36,6.37,6.14,24
